Rank,Category,Bulgarian,English,Spoken,Source
282,Adjectives & adverbs,чудесно,wonderful,chudesno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
283,Time,дни,days,dni,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
284,People & family,човече,man; dude,choveche,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
285,Other common words,бъда,I be; be,bada,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
286,Names / colloquial / corpus noise,мамка,damn; mother vulgar,mamka,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
287,Other common words,помощ,help,pomosht,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
288,Verbs,радвам,I am glad,radvam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
289,Verbs,знаех,I knew,znaeh,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
290,Verbs,щом,as soon as; since,shtom,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
291,Other common words,май,apparently; probably,may,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
292,People & family,деца,children,detsa,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
293,Other common words,около,around; about,okolo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
294,People & family,брат,brother,brat,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
295,People & family,приятели,friends,priyateli,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
296,Verbs,правим,we do; we make,pravim,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
297,Verbs,взема,take; I will take,vzema,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
298,Adjectives & adverbs,ясно,clear,yasno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
299,Negation,нямаше,there wasn't; didn't have,nyamashe,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
300,Other common words,времето,the time; the weather,vremeto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
301,Greetings & polite phrases,давай,come on; go ahead,davay,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
302,Adjectives & adverbs,голяма,big feminine,golyama,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
303,Verbs,работи,works; work plural,raboti,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
304,Other common words,главата,the head,glavata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
305,"Objects, places & abstract nouns",страна,country; side,strana,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
306,Adjectives & adverbs,вътре,inside,vatre,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
307,Verbs,могат,they can,mogat,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
308,Pronouns & particles,твоя,your masculine,tvoya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
309,Adjectives & adverbs,други,other plural,drugi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
310,Adjectives & adverbs,колкото,as much as; however much,kolkoto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
311,Other common words,момент,moment,moment,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
312,Adjectives & adverbs,страхотно,great; awesome,strahotno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
313,Negation,нито,neither; nor,nito,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
314,Adjectives & adverbs,първо,first,parvo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
315,Other common words,спри,stop,spri,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
316,Time,година,year,godina,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
317,Other common words,направил,made; done masculine,napravil,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
318,Other common words,върви,goes; walk,varvi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
319,Other common words,срещу,against; opposite,sreshtu,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
320,Adjectives & adverbs,лошо,bad; badly,losho,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
321,Other common words,можете,you can formal/plural,mozhete,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
322,Other common words,кажете,tell; say formal/plural,kazhete,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
323,Verbs,предполагам,I suppose,predpolagam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
324,Questions & relative words,откъде,from where,otkade,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
325,Greetings & polite phrases,здравейте,hello formal/plural,zdraveyte,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
326,Verbs,имат,they have,imat,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
327,Adjectives & adverbs,голям,big masculine,golyam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
328,Verbs,знаем,we know,znaem,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
329,Other common words,име,name,ime,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
330,Adjectives & adverbs,трудно,difficult; hard,trudno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
331,Other common words,света,the world,sveta,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
332,Adjectives & adverbs,такива,such plural,takiva,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
333,Questions & relative words,какви,what kind of plural,kakvi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
334,Other common words,пъти,times; roads,pati,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
335,Adjectives & adverbs,вероятно,probably,veroyatno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
336,Verbs,виждаш,you see,vizhdash,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
337,Time,момента,the moment,momenta,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
338,"Objects, places & abstract nouns",къщата,the house,kashtata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
339,"Objects, places & abstract nouns",случай,case; occasion,sluchay,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
340,Names / colloquial / corpus noise,джак,Jack; jack,dzhak,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
341,"Objects, places & abstract nouns",въпрос,question,vapros,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
342,"Objects, places & abstract nouns",значение,meaning; importance,znachenie,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
343,Names / colloquial / corpus noise,джон,John,dzhon,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
344,Adjectives & adverbs,прав,right; correct,prav,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
345,Adjectives & adverbs,почти,almost,pochti,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
346,People & family,децата,the children,detsata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
347,Verbs,казваш,you say,kazvash,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
348,Adjectives & adverbs,мъртъв,dead masculine,martav,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
349,Adjectives & adverbs,сериозно,seriously,seriozno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
350,Verbs,обади,call,obadi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
351,Other common words,де,where; come on colloquial,de,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
352,"Objects, places & abstract nouns",идея,idea,ideya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
353,Questions & relative words,кого,whom,kogo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
354,Time,веднъж,once,vednazh,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
355,Verbs,вземи,take imperative,vzemi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
356,Adjectives & adverbs,такова,such; like that neuter,takova,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
357,Verbs,щеше,would; was going to,shteshe,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
358,Other common words,току,just; only,toku,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
359,People & family,дете,child,dete,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
360,Other common words,вкъщи,at home,vkashti,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
361,Other common words,пък,but; again; on the other hand,pak,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
362,Adjectives & adverbs,твърде,too; overly,tvarde,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
363,Verbs,идва,comes,idva,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
364,Verbs,тръгваме,we leave; we set off,tragvame,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
365,Adjectives & adverbs,всяка,each; every feminine,vsyaka,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
366,Verbs,означава,means,oznachava,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
367,Other common words,оттук,from here,ottuk,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
368,Adjectives & adverbs,готов,ready masculine,gotov,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
369,Verbs,надявам,I hope,nadyavam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
370,Prepositions & conjunctions,върху,on; upon,varhu,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
371,Adjectives & adverbs,истината,the truth,istinata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
372,Greetings & polite phrases,извинявай,sorry; excuse me informal,izvinyavay,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
373,Other common words,вървим,we go; we walk,varvim,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
374,People & family,мама,mom,mama,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
375,Prepositions & conjunctions,над,above; over,nad,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
376,Verbs,свърши,finished; end,svarshi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
377,Verbs,мисли,thinks; thoughts,misli,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
378,Verbs,видиш,you see,vidish,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
379,Names / colloquial / corpus noise,што,what; why nonstandard,shto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
380,"Objects, places & abstract nouns",земята,the earth; the ground,zemyata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
381,People & family,дъщеря,daughter,dashterya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
382,"Objects, places & abstract nouns",дома,home,doma,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
383,Time,понякога,sometimes,ponyakoga,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
384,Adjectives & adverbs,лесно,easy; easily,lesno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
385,"Objects, places & abstract nouns",свят,world,svyat,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
386,Verbs,слушай,listen,slushay,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
387,Verbs,говорим,we speak,govorim,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
388,Time,час,hour; class,chas,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
389,Time,седмица,week,sedmitsa,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
390,"Objects, places & abstract nouns",вратата,the door,vratata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
391,Other common words,долу,down; downstairs,dolu,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
392,Verbs,разбираш,you understand,razbirash,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
393,Verbs,чувствам,I feel,chuvstvam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
394,Adjectives & adverbs,всичките,all of them,vsichkite,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
395,Adjectives & adverbs,напълно,completely,napalno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
396,Adjectives & adverbs,възможно,possible,vazmozhno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
397,Verbs,погледни,look,pogledni,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
398,Verbs,искал,wanted masculine,iskal,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
399,Verbs,искаше,wanted; was wanting,iskashe,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
400,Verbs,намери,find; found,nameri,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
401,Verbs,каже,says; tell,kazhe,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
402,Numbers,пет,five,pet,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
403,Negation,нямаш,you don't have,nyamash,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
404,Verbs,отида,I go; I will go,otida,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
405,"Objects, places & abstract nouns",града,the city,grada,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
406,Adjectives & adverbs,спокойно,calmly; don't worry,spokoyno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
407,"Objects, places & abstract nouns",среща,meeting,sreshta,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
408,People & family,син,son; blue,sin,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
409,Other common words,долара,dollars,dolara,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
410,Verbs,казал,said masculine,kazal,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
411,"Objects, places & abstract nouns",кола,car,kola,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
412,Verbs,направих,I made; I did,napravih,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
413,Verbs,поговорим,we talk; let's talk,pogovorim,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
414,Adjectives & adverbs,скъпи,dear plural/masc; expensive plural,skapi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
415,People & family,сестра,sister,sestra,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
416,Other common words,някога,sometime; ever,nyakoga,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
417,Verbs,чух,I heard,chuh,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
418,"Objects, places & abstract nouns",ръцете,the hands,ratsete,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
419,Verbs,дам,I give; I will give,dam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
420,Pronouns & particles,моят,my masculine definite,moyat,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
421,Other common words,проблеми,problems,problemi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
422,People & family,семейството,the family,semeystvoto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
423,Questions & relative words,коя,who; which feminine,koya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
424,Adjectives & adverbs,цялата,the whole feminine,tsyalata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
425,"Objects, places & abstract nouns",очите,the eyes,ochite,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
426,Verbs,искат,they want,iskat,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
427,Adjectives & adverbs,някакъв,some kind of masculine,nyakakav,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
428,Adjectives & adverbs,вярно,true; right,vyarno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
429,Adjectives & adverbs,странно,strange; strangely,stranno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
430,Greetings & polite phrases,чао,bye,chao,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
431,Pronouns & particles,твоята,your feminine,tvoyata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
432,Adjectives & adverbs,прекалено,too much; overly,prekaleno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
433,Other common words,вижте,look; see formal/plural,vizhte,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
434,Questions & relative words,кое,which; what neuter,koe,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
435,Verbs,вярвам,I believe,vyarvam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
436,Verbs,виждал,seen masculine,vizhdal,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
437,"Objects, places & abstract nouns",полицията,the police,politsiyata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
438,Numbers,двама,two people masculine,dvama,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
439,Adjectives & adverbs,супер,super; great,super,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
440,Adjectives & adverbs,онзи,that one,onzi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
441,Prepositions & conjunctions,зад,behind,zad,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
442,Other common words,другите,the others,drugite,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
443,"Objects, places & abstract nouns",училище,school,uchilishte,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
444,Verbs,бяхме,we were,byahme,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
445,Pronouns & particles,моето,my neuter,moeto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
446,Adjectives & adverbs,такава,such feminine,takava,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
447,Adjectives & adverbs,сигурна,sure feminine,sigurna,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
448,Pronouns & particles,моите,my plural,moite,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
449,Names / colloquial / corpus noise,бог,God,bog,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
450,Verbs,имах,I had,imah,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
451,"Objects, places & abstract nouns",край,end; edge,kray,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
452,Verbs,даде,gave,dade,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
453,Verbs,бъдеш,you be; become,badesh,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
454,Verbs,познавам,I know; I am acquainted with,poznavam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
455,Other common words,мястото,the place,myastoto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
456,Names / colloquial / corpus noise,во,in; foreign/nonstandard,vo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
457,"Objects, places & abstract nouns",смъртта,the death,smartta,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
458,Verbs,мислите,you think; the thoughts,mislite,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
459,Names / colloquial / corpus noise,је,non-Bulgarian subtitle artifact,ye,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
460,Verbs,щях,I would; I was going to,shtyah,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
461,Other common words,някъде,somewhere,nyakade,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
462,Prepositions & conjunctions,според,according to,spored,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
463,Time,месеца,months; the month,mesetsa,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
464,Adjectives & adverbs,добри,good plural,dobri,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
465,Time,дълго,long; for a long time,dalgo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
466,"Objects, places & abstract nouns",телефона,the phone,telefona,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
467,Prepositions & conjunctions,та,so; therefore; she dialect,ta,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
468,Verbs,правят,they do; they make,pravyat,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
469,Adjectives & adverbs,сякаш,as if,syakash,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
470,Verbs,струва,costs; is worth,struva,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
471,Adjectives & adverbs,готови,ready plural,gotovi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
472,"Objects, places & abstract nouns",номер,number,nomer,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
473,Names / colloquial / corpus noise,ќе,non-Bulgarian subtitle artifact,kye,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
474,Verbs,намеря,I find; I will find,namerya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
475,Verbs,стой,stand; stay,stoy,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
476,Pronouns & particles,сама,alone feminine; herself,sama,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
477,Verbs,разбрах,I understood,razbrah,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
478,Verbs,звучи,sounds,zvuchi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
479,Other common words,зле,badly,zle,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
480,"Objects, places & abstract nouns",пътя,the road; the way,patya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
481,"Objects, places & abstract nouns",дума,word,duma,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
482,"Objects, places & abstract nouns",превод,translation,prevod,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
483,Greetings & polite phrases,ало,hello on phone,alo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
484,Adjectives & adverbs,важно,important,vazhno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
485,"Objects, places & abstract nouns",шанс,chance,shans,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
486,People & family,семейство,family,semeystvo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
487,Other common words,горе,up; upstairs,gore,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
488,Negation,нямаме,we don't have,nyamame,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
489,Verbs,правите,you do; you make formal/plural,pravite,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
490,Adjectives & adverbs,обратно,back; backwards,obratno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
491,"Objects, places & abstract nouns",сърцето,the heart,sartseto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
492,Adjectives & adverbs,право,right; straight; law,pravo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
493,"Objects, places & abstract nouns",вода,water,voda,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
494,Verbs,дръж,hold,drazh,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
495,Adjectives & adverbs,друга,other feminine,druga,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
496,Time,рано,early,rano,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
497,Adjectives & adverbs,приятно,pleasant; nice to meet you,priyatno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
498,Verbs,повярвам,I believe; I will believe,povyarvam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
499,Adjectives & adverbs,глупости,nonsense,gluposti,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
500,Adjectives & adverbs,цялото,the whole thing,tsyaloto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
